imdb_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
Jingkeuseuui Yeonin,"['mystery', 'romance', 'fantasy', 'melodrama']","['cohabitation', 'supernatural', 'deity female lead', 'clairvoyance', 'unlucky male lead', 'fated love', 'childish female lead', 'older man/younger woman', 'hidden identity', 'special power ']",16,15-Jun-22,4-Aug-22,"['wednesday', 'thursday']","['KBS2', 'Viki']",70,7.4,2587,4396,925,15+ - Teens 15 or older,"11,124","['Seo Hyun', 'Na In Woo', 'Jeon Kwang Ryul', 'Yoon  Ji Hye', 'Ki Do Hoon', 'Cha Kwang Soo']",['Viki'],7.4,9,"It looks like we don't have any Plot Summaries for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide."
She Was Pretty,"['friendship', 'comedy', 'romance', 'drama']","['misunderstanding', 'makeover', 'hardworking female lead', 'character development', 'lying', 'nice female lead', 'mean male lead', 'sassy female lead', 'unrequited love', 'first love ']",16,16-Sep-15,11-Nov-15,"['wednesday', 'thursday']",['MBC'],60,8.1,46059,1266,26,15+ - Teens 15 or older,"88,238","['Hwang Jung Eum', 'Park Seo Joon', 'Go Joon Hee', 'Choi Si Won', 'Shin Dong Mi', 'Ahn Se Ha']","['WeTV', 'Apple TV', 'Viki']",7.6,"4,967","When Ji Sung-Joon was young, he was ugly. As he grew up, he began to have an attractive appearance. When Kim Hye-Jin was young, she was pretty. As she grew up, she became ugly. Ji Sung-Joon tries to find his first love."
Law School,"['mystery', 'law', 'crime', 'drama']","['smart male lead', 'school', 'student', 'university', 'death', 'hardworking female lead', 'rich male lead', 'nice male lead', 'slow burn romance', 'poor female lead ']",16,14-Apr-21,9-Jun-21,"['wednesday', 'thursday']","['jTBC', 'Netflix']",65,8.7,15875,157,214,15+ - Teens 15 or older,"34,711","['Kim Myung Min', 'Kim Bum', 'Ryu Hye Young', 'Lee Jung Eun', 'Lee Soo Kyung', 'David Lee']",['Netflix'],s 8,"2,223","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
"Kill Me, Heal Me","['psychological', 'comedy', 'romance', 'drama']","['dissociative identity disorder', 'trauma', 'boss-employee relationship', 'rich male lead', 'ptsd', 'psychiatry', 'nice male lead', 'mean male lead', 'rich man/poor woman', 'psychiatrist female lead ']",20,7-Jan-15,12-Mar-15,"['wednesday', 'thursday']",['MBC'],62,8.7,43242,124,22,15+ - Teens 15 or older,"93,317","['Ji Sung', 'Hwang Jung Eum', 'Park Seo Joon', 'Kim Yoo Ri', 'Oh Min Suk', 'Kim Young Ae']","['WeTV', 'Apple TV', 'China Huace TV', 'Viki']",8.3,"5,007",A love story between the son from a wealthy family who has 7 personalities Cha Do Hyun (Ji Sung) and Oh Ri Jin (Hwang Jung Eum) who becomes his secret psychiatrist.
Aelliseu,"['mystery', 'sci-fi', 'fantasy', 'melodrama']","['time travel', 'mother-son relationship', 'double identity', 'alexithymia', 'older woman/younger man', 'murder', 'police department setting', 'death of a mother', 'death of a father', 'detective male lead ']",16,28-Aug-20,24-Oct-20,"['friday', 'saturday']",['SBS'],70,7.4,4818,4639,798,15+ - Teens 15 or older,"13,012","['Kim Hee Sun', 'Joo Won', 'Kwak Shi Yang', 'Lee Da In', 'Kim  Sang Ho', 'Hwang Seung Eon']","['Viki', 'SBS World']",7.1,"1,113",The story of detective Park Jin Gyeom who comes to know about the existence of time travelers while investigating a mysterious murder case.
When the Weather is Fine,"['romance', 'life', 'drama', 'melodrama']","['nice male lead', 'healing', 'slow burn romance', 'secret crush', 'adapted from a novel', 'steamy kiss', 'return to hometown', 'calm male lead', 'bromance', 'flashback to past ']",16,24-Feb-20,21-Apr-20,"['monday', 'tuesday']","['jTBC', 'Viki']",60,8.3,13731,644,172,15+ - Teens 15 or older,"38,509","['Park Min Young', 'Seo Kang Joon', 'Lee Jae Wook', 'Kim Hwan Hee', 'Moon Jung Hee', 'Im Se Mi']","['Disney+ Hotstar', 'Viki', 'WeTV', 'iflix', 'Hulu']",7.8,"1,237","A story about forgiveness, healing and love taking place around a small book store in the countryside."
City Hunter,"['action', 'thriller', 'crime']","['strong male lead', 'hidden identity', 'revenge', 'corruption', 'vigilante', 'adapted from a manga', 'strong female lead', 'smart male lead', 'romance', 'death ']",20,25-May-11,28-Jul-11,"['wednesday', 'thursday']",['SBS'],70,8.4,39676,534,45,15+ - Teens 15 or older,"77,215","['Lee Min Ho', 'Park Min Young', 'Lee Joon Hyuk', 'Kim Sang Joong', 'Hwang Sun Hee', 'Kim Mi Sook']",['Apple TV'],8.1,"5,921",Lee Yun-seong was trained by his father's best friend in order to get revenge on the government for killing everyone in his father's unit.
Haereul poomeun dal,"['historical', 'romance', 'supernatural', 'political']","['lovers separated', 'amnesia', 'power struggle', 'hidden identity', 'joseon dynasty', 'first love', 'black magic', 'time skip', 'male chases female first', 'brother-sister relationship ']",20,4-Jan-12,15-Mar-12,"['wednesday', 'thursday']",['MBC'],65,8.4,22889,434,117,15+ - Teens 15 or older,"49,848","['Han Ga In', 'Kim Soo Hyun', 'Jung Il Woo', 'Kim Min Seo', 'Kim Yoo Jung', 'Yeo Jin Goo']","['WeTV', 'Apple TV', 'iflix', 'Viki']",s 8,"2,668","The story of the secret love between Lee Hwon, a fictional king of Joseon, and Wol, a female shaman. Wol was born as Heo Yeon Woo, the daughter of a noble family who won the love of the crown prince, Hwon. Her enemies, jealous of her family's position in court, schemed against her, wrestled away her rightful place as crown princess, and nearly took her life. Years later, an embittered Hwon meets Wol, now a female shaman with no recollection of her past.

—DramaWiki"
The Crowned Clown,"['historical', 'romance', 'melodrama', 'political']","['double identity', 'noble woman/common man', 'identity swap', 'poor male lead', 'character development', 'joseon dynasty', 'power struggle', 'rebellion', 'nice male lead', 'doppelganger ']",16,7-Jan-19,4-Mar-19,"['monday', 'tuesday']",['tvN'],80,8.4,8101,442,388,15+ - Teens 15 or older,"22,677","['Yeo Jin Goo', 'Lee Se Young', 'Kim Sang Kyung', 'Jang Gwang', 'Yoon Jong Seok', 'Yoon Gyung Ho']","['WeTV', 'Netflix', 'K-DRAMA', 'Viki']",s 8,967,"The story takes place in Joseon period, when power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the King puts a clown, who looks exactly like him, on the throne."
Military Prosecutor Do Bae Man,"['action', 'military', 'mystery', 'law']","['military abuse', 'investigation', 'death of a mother', 'prosecutor female lead', 'prosecutor male lead', 'death of a father', 'money-hungry male lead', 'successful male lead', 'evil parental figure', 'money-obsession ']",16,28-Feb-22,26-Apr-22,"['monday', 'tuesday']",['tvN'],65,8.4,4965,497,715,15+ - Teens 15 or older,"14,253","['Ahn Bo Hyun', 'Jo Bo Ah', 'Oh Yeon Soo', 'Kim Young Min', 'Kim Woo Seok', 'Kang Mal Geum']","['Netflix', 'Viki']",7.9,563,Do Bae Man and Cha Woo In begin to work together as they break down evils in the military.
Oh My Ghost,"['thriller', 'comedy', 'romance', 'supernatural']","['boss-employee relationship', 'identity swap', 'hardworking male lead', 'successful male lead', 'ghost-seeing female lead', 'sismance', 'love triangle', 'cold man/warm woman', 'female chases male first', 'shamanism ']",16,3-Jul-15,22-Aug-15,"['friday', 'saturday']",['tvN'],60,8.3,42530,573,38,13+ - Teens 13 or older,"79,943","['Park Bo Young', 'Kim Seul Gi', 'Jo Jung Suk', 'Im Joo Hwan', 'Kang Ki Young', 'Kwak Shi Yang']","['Prime Video', 'Viki', 'WeTV', 'Netflix', 'K-DRAMA', 'AsianCrush']",s 8,"4,423","Timid Na Bong Sun gets possessed by the ghost of a confident young woman who seeks to solve her one unfinished business by hooking up with Bong Sun's boss, famous chef Kang Sun Woo."
Save Me,"['action', 'thriller', 'mystery', 'drama']","['cult', 'adapted from a webtoon', 'strong female lead', 'bromance', 'school bullying', 'smart female lead', 'deception', 'strong male lead', 'ex-convict', 'fake religion ']",16,5-Aug-17,24-Sep-17,"['saturday', 'sunday']",['OCN'],60,8.6,19583,262,114,15+ - Teens 15 or older,"50,657","['Seo Yea Ji', 'Ok Taec Yeon', 'Woo Do Hwan', 'Jo Sung Ha', 'Jo Jae Yoon', 'Park Ji Young']",['K-DRAMA'],s 8,"1,455",A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.
Live Up to Your Name,"['historical', 'romance', 'medical', 'fantasy']","['time travel', 'joseon dynasty', 'acupuncture', 'strong female lead', 'character development', 'trauma', 'eccentric male lead', 'tragic past', 'doctor female lead', 'doctor male lead ']",16,12-Aug-17,1-Oct-17,"['saturday', 'sunday']",['tvN'],70,8.3,10074,759,435,15+ - Teens 15 or older,"21,117","['Kim Nam Gil', 'Kim Ah Joong', 'Yoo Min Kyu', 'Moon Ga Young', 'Yoon Joo Sang', 'Uhm Hyo Sub']","['K-DRAMA', 'Netflix']",s 8,"1,333","The best acupuncturist of Joseon, Heo Im, finds himself traveling 400 years into the future, where he meets Choi Yeon Kyung, doctor in a modern hospital. Though impressed by her, differences in their methods and priorities make them clash."
My Unfamiliar Family,"['life', 'drama']","['family crisis', 'amnesia', 'misunderstanding', 'multiple mains', 'mother-son relationship', 'father-daughter relationship', 'mother-daughter relationship', 'father-son relationship', 'friends to lovers', 'marriage ']",16,1-Jun-20,21-Jul-20,"['monday', 'tuesday']",['tvN'],75,8.4,2620,474,1345,15+ - Teens 15 or older,"7,549","['Han Ye Ri', 'Kim Ji Suk', 'Choo Ja Hyun', 'Jung Jin Young', 'Won Mi Kyung', 'Shin Jae Ha']","['Viki', 'Netflix', 'Apple TV']",7.7,142,This drama tells the story of a family that is slowly starting to drift apart.
Keuleiji Leobeu,"['comedy', 'romance', 'drama']","['enemies to lovers', 'boss-employee relationship', 'secretary female lead', 'steamy kiss', 'narcissistic male lead', 'slow burn romance', 'love/hate relationship', 'hardworking female lead', 'rich male lead', 'fake relationship ']",16,7-Mar-22,26-Apr-22,"['monday', 'tuesday']",['KBS2'],65,8.3,8961,655,418,15+ - Teens 15 or older,"21,781","['Kim Jae Wook', 'Krystal Jung', 'Ha Joon', 'Yoo In Young', 'Im Won Hee', 'Park Han Sol']","['Disney+ Hotstar', 'Disney+']",7.1,440,"Noh Gojin, a genius who runs a private education company is conceited because of his many struggles while his current secretary, Lee Sina, who has lasted longer than anyone before, decides to get back at her boss."
The Innocent Man,"['romance', 'drama', 'family', 'melodrama']","['revenge', 'character development', 'rich woman/poor man', 'male chases female first', 'strong female lead', 'cold female lead', 'rich female lead', 'self-sacrifice', 'sacrifice happiness', 'deception ']",20,12-Sep-12,15-Nov-12,"['wednesday', 'thursday']",['KBS2'],62,8.1,22255,1223,146,15+ - Teens 15 or older,"44,694","['Moon Chae Won', 'Song Joong Ki', 'Park Shi Yeon', 'Yang Ik Jun', 'Lee Yoo Bi', 'Jo Hwi Joon']","['WeTV', 'Netflix', 'Viki']",7.7,"1,927","Kang Ma-Ru is a promising medical student, until he takes the blame for a crime he didn't commit. When he finds an opportunity for revenge, he takes it, using Seo Eun-Gi. Ma-Ru soon discovers that are things more important than revenge, though.

—Lily Cooper"
Encounter,"['business', 'romance', 'life', 'political']","['older woman/younger man', 'boss-employee relationship', 'nice male lead', 'selfish mother', 'filmed abroad', 'conglomerate', 'disapproving parent', 'steamy kiss', 'calm male lead', 'male chases female first ']",16,28-Nov-18,24-Jan-19,"['wednesday', 'thursday']",['tvN'],69,8.1,13225,1156,228,15+ - Teens 15 or older,"33,311","['Song Hye Kyo', 'Park Bo Gum', 'Jang Seung Jo', 'Ko Chang Seok', 'Shin Jung Keun', 'Nam Ki Ae']","['Viki', 'Netflix', 'Hulu', 'Apple TV']",7.5,"1,612","Brought together by fate, a woman who seems to have everything and a young man who seems to have nothing decides to give up an ordinary life to be together."
Kairos,"['action', 'thriller', 'drama', 'sci-fi']","['time altering', 'past and present', 'family secret', 'rich male lead', 'hardworking male lead', 'different timelines', 'smart male lead', 'gaslighting', 'missing person', 'successful male lead ']",16,26-Oct-20,22-Dec-20,"['monday', 'tuesday']",['MBC'],70,8.5,4853,296,667,15+ - Teens 15 or older,"15,094","['Shin Sung Rok', 'Lee Se Young', 'Ahn Bo Hyun', 'Nam Gyu Ri', 'Kang Seung Yoon', 'Jo Dong In']","['Apple TV', 'Viki']",s 8,607,"A fantasy thriller about a man who is in shock of losing his daughter and a woman who lives in the past, both struggling to save the ones they love."
"Bring It On, Ghost","['horror', 'comedy', 'romance', 'supernatural']","['ghost', 'ghost-seeing male lead', 'strong female lead', 'exorcism', 'strong male lead', 'interspecies romance', 'nice male lead', 'badass female lead', 'adapted from a webtoon', 'sassy female lead ']",16,11-Jul-16,30-Aug-16,"['monday', 'tuesday']",['tvN'],60,8.2,31823,966,70,15+ - Teens 15 or older,"64,729","['Ok Taec Yeon', 'Kim So Hyun', 'Kwon Yool', 'Kim  Sang Ho', 'David Lee', 'Kang Ki Young']","['WeTV', 'Viki', 'K-DRAMA']",7.6,"2,587","A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he's discovered over the years is that he can touch them and fight them off, so when he's in need of a part-time job and can't find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: ""Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%."" One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.

—MyDramaList"
Tunnel,"['thriller', 'mystery', 'sci-fi', 'fantasy']","['time travel', 'murder', 'bromance', 'hardworking male lead', 'hidden identity', 'strong female lead', 'character development', 'slight romance', 'teamwork', 'calm female lead ']",16,25-Mar-17,21-May-17,"['saturday', 'sunday']",['OCN'],64,8.7,15805,162,212,15+ - Teens 15 or older,"35,034","['Choi Jin Hyuk', 'Yoon Hyun Min', 'Lee Yoo Young', 'Jo Hee Bong', 'Kim Byung Chul', 'Kang Ki Young']","['WeTV', 'K-DRAMA', 'Viki']",8.3,"2,905",A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit.
The Veil,"['action', 'thriller', 'mystery', 'crime']","['badass male lead', 'antihero', 'smart male lead', 'national intelligence service', 'strong male lead', 'espionage', 'investigation', 'suspense', 'drama', 'agent male lead ']",12,17-Sep-21,23-Oct-21,"['friday', 'saturday']",['MBC'],70,8.3,4443,613,849,15+ - Teens 15 or older,"12,270","['Namkoong Min', 'Park Ha Sun', 'Kim Ji Eun', 'Jang Young Nam', 'Kim Jong Tae', 'Kim Do Hyun']","['Prime Video', 'Viki']",7.5,774,"A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization."
Private Lives,"['thriller', 'mystery', 'romance', 'crime']","['fraud', 'corruption', 'swindling', 'secret organization', 'marriage', 'lovers to enemies', 'espionage', 'detective agency', 'enemies to friends', 'conspiracy ']",16,7-Oct-20,26-Nov-20,"['wednesday', 'thursday']","['jTBC', 'Netflix']",75,7.5,5908,4162,609,15+ - Teens 15 or older,"16,515","['Seo Hyun', 'Go Kyung Pyo', 'Kim Hyo Jin', 'Kim Young Min', 'Tae Won Seok', 'Park Sung Geun']",['Netflix'],6.6,627,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation."
My Golden Life,"['business', 'comedy', 'romance', 'drama']","['rich man/poor woman', 'rich male lead', 'father-daughter relationship', 'nice male lead', 'badass female lead', 'smart female lead', 'forbidden love', 'depression', 'smart male lead', 'sibling rivalry ']",52,2-Sep-17,11-Mar-18,"['saturday', 'sunday']",['KBS2'],65,7.9,3311,1824,1077,15+ - Teens 15 or older,"9,481","['Park Shi Hoo', 'Shin Hye Sun', 'Seo Eun Soo', 'Lee Tae Hwan', 'Lee Da In', 'Lee Tae Sung']","['Viki', 'Apple TV']",7.2,341,"A woman has a chance for success, but falls into a bottomless pit of her life. She looks for ways to find happiness through her circumstance."
The 1st Shop of Coffee Prince,"['food', 'comedy', 'romance', 'drama']","['cross-dressing', 'hidden identity', 'boss-employee relationship', 'hardworking female lead', 'strong female lead', 'bromance', 'eccentric female lead', 'love square', 'gender bender', 'family pressure ']",17,2-Jul-07,28-Aug-07,"['monday', 'tuesday']",['MBC'],60,8.3,45704,741,35,15+ - Teens 15 or older,"82,708","['Gong Yoo', 'Yoon Eun Hye', 'Lee Sun Kyun', 'Chae Jung An', 'Kim Chang Wan', 'Kim Dong Wook']","['Viki', 'Apple TV']",8.2,"5,477","A tomboy, mistaken for a lad, maintains the deception for the sake of employment. The situation becomes complicated when her male boss begins to develop feelings for this ""boy."""
Bridal Mask,"['action', 'historical', 'romance', 'political']","['japanese colonial rule', 'hidden identity', 'rebellion', 'revenge', 'love triangle', 'murder', 'first love', 'adapted from a manhwa', 'investigation', 'drama ']",28,30-May-12,6-Sep-12,"['wednesday', 'thursday']",['KBS2'],65,8.6,10465,205,310,15+ - Teens 15 or older,"27,031","['Joo Won', 'Jin Se Yeon', 'Park Ki Woong', 'Han Chae Ah', 'Shin Hyun Joon', 'Chun Ho Jin']",['Viki'],8.3,661,"In 1930s Korea, during the Japanese colonial era, a man who is a Korean police officer assigned to aid the Japanese in the annihilation of the local rebellion, secretly dons the 'Bridal Mask' and fights the unjust regime."
"Father, I'll Take Care of You","['romance', 'drama', 'family', 'melodrama']","['brother-sister relationship', 'workplace romance', 'revenge', 'lost child', 'nice male lead ']",50,12-Nov-16,7-May-17,"['saturday', 'sunday']",['MBC'],65,7.6,1262,3710,2170,15+ - Teens 15 or older,"4,384","['Kim Jae Won', 'Lee Soo Kyung', 'Park Eun Bin', 'Lee Tae Hwan', 'Na Moon Hee', 'Kim Yong Rim']",[],s 8,46,"After their 4 children become independent, an old couple decide to live for themselves. One day, their 4 children come back to them."
A Love So Beautiful,"['comedy', 'romance', 'life', 'youth']","['unrequited love', 'first love', 'doctor male lead', 'height difference', 'bright female lead', 'female chases male first', 'adapted from a novel', 'love triangle', 'smart male lead', 'high school ']",24,28-Dec-20,20-Feb-21,"['monday', 'thursday', 'saturday']","['Daum Kakao TV', 'Netflix']",20,7.8,12844,2351,354,13+ - Teens 13 or older,"24,588","['Kim Yo Han', 'So Ju Yeon', 'Yeo Hoe Hyun', 'Jo Hye Joo', 'Jung Jae Oh', 'Kim Dong Kyu']","['Kakao TV', 'Netflix']",7.3,"1,034","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
Mystic Pop-up Bar,"['mystery', 'comedy', 'drama', 'fantasy']","['afterlife', 'tragic past', 'grudge', 'hot-tempered female lead', 'spirit', 'adapted from a webtoon', 'special power', 'flashback to past', 'food', 'innocent male lead ']",12,20-May-20,25-Jun-20,"['wednesday', 'thursday']","['jTBC', 'Netflix']",68,8.6,19287,258,161,15+ - Teens 15 or older,"40,524","['Hwang Jung Eum', 'Yook Sung Jae', 'Choi Won Young', 'Jung Da Eun', 'Lee Joon Hyuk', 'Na In Woo']",['Netflix'],s 8,"2,124",A young man with an unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.
The Smile Has Left Your Eyes,"['thriller', 'mystery', 'romance', 'drama']","['antihero', 'psychological', 'murder', 'tragic past', 'smart male lead', 'investigation', 'eccentric male lead', 'cold man/warm woman', 'orphan male lead', 'melodrama ']",16,3-Oct-18,22-Nov-18,"['thursday', 'wednesday']",['tvN'],64,8.3,16805,630,128,15+ - Teens 15 or older,"47,138","['Seo In Guk', 'Jung So Min', 'Park Sung Woong', 'Seo Eun Soo', 'Go Min Si', 'Jang Young Nam']","['Apple TV', 'Viki', 'K-DRAMA']",7.9,"1,238","A detective takes on a murder case that was disguised as suicide and becomes obsessed with solving it. But his younger sister falls in love with a man that is somehow connected to the murder. The detective tries to push the two away from each other, because he knows the man isn't a good person but the young woman has sympathy for him."
My Secret Terrius,"['action', 'mystery', 'comedy', 'romance']","['corruption', 'strong female lead', 'hidden identity', 'tragic past', 'character development', 'teamwork', 'single mother', 'nice male lead', 'spy male lead', 'undercover agent male lead ']",32,27-Sep-18,15-Nov-18,"['wednesday', 'thursday']",['MBC'],35,8.3,12176,660,307,15+ - Teens 15 or older,"27,072","['So Ji Sub', 'Jung In Sun', 'Son Ho Jun', 'Im Se Mi', 'Kim Gun Woo', 'Ok Ye Rin']",[],7.6,"1,262","Go Ae Rin suddenly loses her husband. A mysterious man, Kim Bon, lives next door. Kim Bon is a legendary NIS agent. He helps Ae Rin uncover a conspiracy, which husband became involved with."
School 2017,"['mystery', 'comedy', 'romance', 'youth']","['high school', 'school problems', 'friendship', 'bromance', 'school bullying', 'slow burn romance', 'aggressive male lead', 'character development', 'first love', 'rich male lead ']",16,17-Jul-17,5-Sep-17,"['monday', 'tuesday']",['KBS2'],60,8.2,25318,968,105,15+ - Teens 15 or older,"53,081","['Kim Se Jeong', 'Kim Jung Hyun', 'Jang Dong Yoon', 'Han Sun Hwa', 'Han Joo Wan', 'Seol In Ah']","['Viki', 'Apple TV']",7.5,"1,360",The story of 18-year old students who have to battle the discrimination at their school in order to have a future.
Doctor John,"['mystery', 'romance', 'life', 'medical']","['incurable disease', 'eccentric male lead', 'euthanasia', 'hardworking male lead', 'ptsd', 'secret', 'trauma', 'tragic past', 'student-teacher relationship', 'adapted from a novel ']",32,19-Jul-19,7-Sep-19,"['friday', 'saturday']",['SBS'],35,8.5,13421,312,272,15+ - Teens 15 or older,"29,570","['Ji Sung', 'Lee Se Young', 'Lee Kyu Hyung', 'Hwang Hee', 'Jung Min Ah', 'Kwon Hwa Woon']","['Apple TV', 'Viki']",8.1,"1,419","In a refreshing take on the genre, ""Doctor John"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime."
More Than Friends,"['comedy', 'romance', 'life', 'drama']","['multiple couples', 'first love', 'love triangle', 'unrequited love', 'sismance', 'misunderstanding', 'secret crush', 'female chases male first', 'calligrapher', 'photographer ']",16,25-Sep-20,28-Nov-20,"['friday', 'saturday']","['jTBC', 'Viki']",68,7.4,6067,4598,578,15+ - Teens 15 or older,"17,100","['Ong Seong Wu', 'Shin Ye Eun', 'Kim Dong Jun', 'Ahn Eun Jin', 'Choi Chan Ho', 'Baek Soo Min']","['Disney+ Hotstar', 'Hulu', 'Viki', 'WeTV', 'Netflix']",6.6,423,"A romantic drama about a man and a woman who, due to a misunderstanding, have held a crush on each other for over 10 years."
Designated Survivor: 60 Days,"['thriller', 'mystery', 'drama', 'political']","['power struggle', 'conspiracy', 'blue house', 'lying', 'social commentary', 'terrorism', 'deception', 'national intelligence service', 'national assembly', 'death ']",16,1-Jul-19,20-Aug-19,"['monday', 'tuesday']","['Netflix', 'tvN']",70,8.6,4971,232,861,15+ - Teens 15 or older,"12,002","['Ji Jin Hee', 'Son Seok Koo', 'Kang Han Na', 'Heo Joon Ho', 'Lee Joon Hyuk', 'Choi Yoon Young']",['Netflix'],8.1,"1,302","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos."
Bad Guys,"['action', 'thriller', 'psychological', 'crime']","['murder', 'teamwork', 'strong male lead', 'smart male lead', 'skilled killer', 'violence', 'death', 'revenge', 'detective male lead', 'bromance ']",11,4-Oct-14,13-Dec-14,['saturday'],['OCN'],65,8.5,12892,276,262,18+ Restricted (violence & profanity),"30,389","['Kim Sang Joong', 'Park Hae Jin', 'Jo Dong Hyuk', 'Ma Dong Seok', 'Kang Ye Won', 'Kang Shin Il']",[],7.8,"1,601",A group of criminals are brought together by the law to assist in stopping crime.
Yeopgijeogin Geunyeo,"['historical', 'comedy', 'romance']","['joseon dynasty', 'sassy female lead', 'love/hate relationship', 'princess female lead', 'historical fiction', 'royalty', 'smart male lead', 'pre-produced', 'tomboy', 'nice male lead ']",32,29-May-17,18-Jul-17,"['monday', 'tuesday']",['SBS'],30,7.8,6894,2496,520,G - All Ages,"18,578","['Joo Won', 'Oh Yeon Seo', 'Lee Jung Shin', 'Kim Yoon Hye', 'Son Chang Min', 'Yoon Se Ah']","['Viki', 'Netflix', 'SBS World']",6.8,629,"A love story of a cold city scholar Gyun Woo, who's known as ""Joseon's national treasure"", and the sassy princess Hye Myung in a Joseon Dynasty era."
When the Camellia Blooms,"['thriller', 'comedy', 'romance', 'drama']","['mystery', 'motherhood', 'mother-son relationship', 'hardworking female lead', 'dorky male lead', 'male chases female first', 'nice male lead', 'independent female lead', 'nice female lead', 'mother-daughter relationship ']",40,18-Sep-19,21-Nov-19,"['wednesday', 'thursday']","['KBS2', 'Netflix']",35,8.5,20146,332,126,15+ - Teens 15 or older,"47,370","['Gong Hyo Jin', 'Kang Ha Neul', 'Kim Ji Suk', 'Son Dam Bi', 'Oh Jung Se', 'Yeom Hye Ran']",['Netflix'],7.9,"2,516","A love story of the single-parent Dongbaek, the owner of Camellia Bar among a small neighborhood, who is also being the next murder target of a serial killer case."
My Strange Hero,"['mystery', 'comedy', 'romance', 'youth']","['student-teacher relationship', 'corruption', 'second chance romance', 'evil parental figure', 'wrongfully accused', 'student', 'nice male lead', 'revenge', 'high school', 'school problems ']",32,10-Dec-18,4-Feb-19,"['monday', 'tuesday']",['SBS'],35,8.1,14013,1057,187,15+ - Teens 15 or older,"37,004","['Yoo Seung Ho', 'Jo Bo Ah', 'Kwak Dong Yeon', 'Chun Ho Jin', 'Lee Kang Min', 'Kim Yeo Jin']","['Apple TV', 'Viki']",7.3,873,"When Kang Bok Soo was a high school student, he was falsely accused of committing violence and kicked out of school. This was caused by his first love Son Soo-Jeong and a male student Oh Se Ho. Kang Bok Soo is a now an adult, but his life has not gone smoothly. To get revenge on Son Soo-Jeong and Oh Se Ho, he returns to the same high school as a student. The environment at the school has changed and Kang Bok Soo gets involved in unexpected cases."
Misty,"['thriller', 'mystery', 'romance', 'melodrama']","['strong female lead', 'badass female lead', 'infidelity', 'murder', 'smart male lead', 'misunderstanding', 'suspense', 'eccentric female lead', 'marriage', 'calm female lead ']",16,2-Feb-18,24-Mar-18,"['friday', 'saturday']",['jTBC'],70,8.3,3644,606,1007,15+ - Teens 15 or older,"10,076","['Kim Nam Joo', 'Ji Jin Hee', 'Jeon Hye Jin', 'Im Tae Kyung', 'Go Jun', 'Jin Ki Joo']","['Disney+ Hotstar', 'Viki', 'Netflix']",s 8,653,"This drama is a Crime Suspense centering around a headstrong anchorwoman who becomes the suspect in a murder case. Her estranged husband, who's a lawyer, decides to defend her and hence starts their journey to fall back in love."
Mom,"['romance', 'family', 'melodrama', 'supernatural']","['mother-daughter relationship', 'nice female lead', 'death', 'reincarnation', 'sismance', 'ghost', 'heartbreak', 'remarriage', 'father-daughter relationship', 'nice stepmother ']",16,22-Feb-20,19-Apr-20,"['saturday', 'sunday']","['Netflix', 'tvN']",70,8.5,14571,330,248,15+ - Teens 15 or older,"31,691","['Kim Tae Hee', 'Lee Kyu Hyung', 'Go Bo Gyeol', 'Seo Woo Jin', 'Shin Dong Mi', 'Oh Eui Shik']",['Netflix'],7.4,9,"It looks like we don't have any Plot Summaries for this title yet. Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide."
